cidade,cargo,total,telefone,endereco,email
Maracanaú,Motorista de caminhão-pipa,4,(85) 2180-6220,Av. Senador Virgílio Távora,vagas.maracanau@idt.org.br
Maracanaú,Motorista entregador,4,(85) 2180-6220,Av. Senador Virgílio Távora,vagas.maracanau@idt.org.br
Maracanaú,Ajudante de carga e descarga de mercadoria,6,(85) 2180-6220,Av. Senador Virgílio Távora,vagas.maracanau@idt.org.br
Maranguape,Ajudante de carga e descarga de mercadoria,4,(85) 3369-9101,Rua Cel. Antônio Botelho,
Maranguape,Motorista entregador,2,(85) 3369-9101,Rua Cel. Antônio Botelho,
Morada nova,Ajudante de carga e descarga de mercadoria,3,,Rua Antônio de Castro,
Morada nova,Motorista de ônibus urbano,2,,Rua Antônio de Castro,
Pecém,Motofretista,1,(85) 2180-6221,Rua Francisco Câncio,curriculos.pecem@idt.org.br
Pecém,Motorista de caminhão,1,(85) 2180-6221,Rua Francisco Câncio,curriculos.pecem@idt.org.br
Pecém,Motorista de caminhão (rotas regionais e internacionais),2,(85) 2180-6221,Rua Francisco Câncio,curriculos.pecem@idt.org.br
Pecém,Operador de retro-escavadeira,1,(85) 2180-6221,Rua Francisco Câncio,curriculos.pecem@idt.org.br
Quixadá,Motorista de caminhão,1,(85) 2180-6229,Av. Plácido Castelo,
Sobral,Ajudante de carga e descarga de mercadoria,1,(85) 2180-6223,Rua Cel. João Silvestre,vagas.sobral@idt.org.br
Sobral,Motofretista,3,(85) 2180-6223,Rua Cel. João Silvestre,vagas.sobral@idt.org.br
Sobral,Motorista de furgão ou veículo similar,1,(85) 2180-6223,Rua Cel. João Silvestre,vagas.sobral@idt.org.br
Sobral,Motorista entregador,2,(85) 2180-6223,Rua Cel. João Silvestre,vagas.sobral@idt.org.br
Tianguá,Ajudante de carga e descarga de mercadoria,2,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Tianguá,Motorista de caminhão,1,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Tianguá,Motorista de caminhão basculante,5,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Tianguá,Motorista de ônibus urbano,3,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Tianguá,Motorista entregador,2,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Tianguá,Operador de máquinas de construção civil e mineração,1,(85) 2180-6224,Av. Prefeito Jaques Nunes,vagas.tiangua@idt.org.br
Fortim,Motofretista,1,,AV. Joaquim Crisóstomo,
Fortim,Motorista de caminhão,1,,AV. Joaquim Crisóstomo,
Baturité,Motorista de caminhão,1,,Av. Francisco Braga Filho,
